ts_min_utc,rps,label,RF_Alarm,LR_Alarm,RPS400_Alarm,RPS500_Alarm,RPS600_Alarm
2025-09-26 14:11:00+00:00,107,0,1,1,0,0,0
2025-09-26 14:12:00+00:00,277,0,1,1,0,0,0
2025-09-26 14:13:00+00:00,362,0,1,1,0,0,0
2025-09-26 14:14:00+00:00,430,0,1,1,1,0,0
2025-09-26 14:15:00+00:00,434,0,1,1,1,0,0
2025-09-26 14:16:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:17:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:18:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:19:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:20:00+00:00,434,0,1,1,1,0,0
2025-09-26 14:21:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:22:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:23:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:24:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:25:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:26:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:27:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:28:00+00:00,436,0,1,1,1,0,0
2025-09-26 14:29:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:30:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:31:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:32:00+00:00,436,0,1,1,1,0,0
2025-09-26 14:33:00+00:00,434,0,1,1,1,0,0
2025-09-26 14:34:00+00:00,436,0,1,1,1,0,0
2025-09-26 14:35:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:36:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:37:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:38:00+00:00,434,0,1,1,1,0,0
2025-09-26 14:39:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:40:00+00:00,436,0,1,1,1,0,0
2025-09-26 14:41:00+00:00,435,0,1,1,1,0,0
2025-09-26 14:42:00+00:00,415,0,1,1,1,0,0
2025-09-26 14:43:00+00:00,383,0,1,1,0,0,0
2025-09-26 14:44:00+00:00,353,0,1,1,0,0,0
2025-09-26 14:45:00+00:00,308,0,1,1,0,0,0
2025-09-26 14:46:00+00:00,259,0,1,1,0,0,0
2025-09-26 14:47:00+00:00,213,0,1,1,0,0,0
2025-09-26 14:48:00+00:00,4,0,1,1,0,0,0
